"episodeID","category","value","clues","answer"
"1375","THE PLANETS","100","It's the third rock from the sun","Earth"
"1375","THE PLANETS","200","In August 1996 NASA announced life may have existed on this planet, based on evidence from a meteorite","Mars"
"1375","THE PLANETS","300","In 1980 Voyager 1 revealed that 2 of this planet's rings are braided","Saturn"
"1375","THE PLANETS","400","It's named for a mythical sea god","Neptune"
"1375","THE PLANETS","500","Astronomer Clyde Tombaugh discovered this tiny planet in 1930","Pluto"
"1439","CANADIAN PROVINCES","100","Victoria Day is celebrated with a week of festivities in Victoria, the capital of this province","British Columbia"
"1439","CANADIAN PROVINCES","200","Saskatoon is this province's ""City of Bridges""","Saskatchewan"
"1439","CANADIAN PROVINCES","300","Green Gables, the home made famous in ""Anne Of Green Gables"", is a major attraction in this island province","Prince Edward Island"
"1439","CANADIAN PROVINCES","600","With an area of 594,860 square miles, it's Canada's largest province","Quebec"
"1439","CANADIAN PROVINCES","500","Fredericton has been the capital of this Atlantic province since 1785","New Brunswick"
"150","CANADIAN PROVINCES","200","This province's postal abbreviation is QC","Quebec"
"150","CANADIAN PROVINCES","400","With about 10 million people, it has Canada's largest population","Ontario"
"150","CANADIAN PROVINCES","600","This island province has three counties:  King's, Queen's, and Prince","Prince Edward Island"
"150","CANADIAN PROVINCES","800","Cape Breton Island forms the northeastern tip of this Atlantic province","Nova Scotia"
"150","CANADIAN PROVINCES","1000","This province bordering Maine is 90% forest","New Brunswick"
"1518","THE PLANETS","400","To us, it's brighter than any other planet or any star (except the Sun)","Venus"
"1518","THE PLANETS","800","As you can guess, a satellite named Nereid, a sea nymph, circles this planet","Neptune"
"1518","THE PLANETS","1200","The USA's Gamma Ray Observatory orbited this planet from 1991 until 2000, when it deorbited and safely crashed","Earth"
"1518","THE PLANETS","3000","It travels about 30 miles per second, moving around the sun faster than any other planet","Mercury"
"1518","THE PLANETS","2000","A Greek God inspired the name of this planet, the farthest that can be seen without a telescope","Uranus"
"193","OSCAR, GRAMMY OR BOTH","200","Frank Sinatra","both"
"193","OSCAR, GRAMMY OR BOTH","400","Mickey Rooney","Oscar"
"193","OSCAR, GRAMMY OR BOTH","600","Bette Midler","Grammy"
"193","OSCAR, GRAMMY OR BOTH","800","Julie Andrews","both"
"193","OSCAR, GRAMMY OR BOTH","1000","Stevie Wonder","both"
"2062","THE PLANETS","100","In July 1998 Japan launched Nozomi; it's set to reach this ""Red Planet"" in 2003","Mars"
"2062","THE PLANETS","200","They are the 2 planets closest to our sun","Mercury & Venus"
"2062","THE PLANETS","300","A 25-year-long telescope search for it ended with its discovery in 1930","Pluto"
"2062","THE PLANETS","400","Photos published in June 1999 show its largest moon, Titan, may have liquid seas","Saturn"
"2062","THE PLANETS","500","Interplanetary distances are measured in AUs, which are these","astronomical units"
2101,"OSCAR, GRAMMY OR BOTH",100,Cher,both
"2101","OSCAR, GRAMMY OR BOTH","200","Meryl Streep","Oscar"
"2101","OSCAR, GRAMMY OR BOTH","300","Madonna","Grammy"
2101,"OSCAR, GRAMMY OR BOTH",400,"Rita Moreno",both
2101,"OSCAR, GRAMMY OR BOTH",500,"Shirley Jones",Oscar
"2126","WHICH TIME ZONE?","200","Vancouver, British Columbia","Pacific"
"2126","WHICH TIME ZONE?","400","Omaha, Nebraska","Central"
"2126","WHICH TIME ZONE?","600","Santa Fe, New Mexico","Mountain"
"2126","WHICH TIME ZONE?","800","Reno, Nevada","Pacific"
2126,"WHICH TIME ZONE?",1000,"Akron, Ohio",Eastern
"2190","THE PLANETS","100","In a 1908 book Percival Lowell proposed that its surface markings were irrigation canals","Mars"
"2190","THE PLANETS","200","In 1975 the Soviet spacecraft Venera 9 provided the first photo from its surface","Venus"
"2190","THE PLANETS","300","On December 7, 1995, a probe from the Galileo spacecraft plunged into this planet's atmosphere","Jupiter"
"2190","THE PLANETS","400","Its moon Triton has a thin nitrogen atmosphere","Neptune"
"2190","THE PLANETS","500","It's the only planet in our solar system discovered by an American, Clyde Tombaugh","Pluto"
"2448","CANADIAN PROVINCES","400","Every province except this one has a majority population whose ancestors came from the British Isles","Quebec"
"2448","CANADIAN PROVINCES","800","The Cypress Hills extend across SE Alberta & the SW part of this province","Saskatchewan"
"2448","CANADIAN PROVINCES","1200","The southernmost point of Canada lies in this province","Ontario"
